Entity,Code,Year,CO2 mitigation curves to meet a 1.5C target
Start in 2003,,2092,278260000
Start in 2003,,2093,259473000
Start in 2003,,2094,241929000
Start in 2003,,2095,225550000
Start in 2003,,2096,210258000
Start in 2003,,2097,195985010
Start in 2003,,2098,182664000
Start in 2003,,2099,170232000
Start in 2003,,2100,158632000
Start in 2004,,2004,33862724000
Start in 2004,,2005,34735993000
Start in 2004,,2006,35229176000
Start in 2004,,2007,35399504000
Start in 2004,,2008,35297320000
Start in 2004,,2009,34966820000
Start in 2004,,2010,34446717000
Start in 2004,,2011,33770870000
Start in 2004,,2012,32968823000
Start in 2004,,2013,32066265000
Start in 2004,,2014,31085496000
Start in 2004,,2015,30045788000
Start in 2004,,2016,28963752000
Start in 2004,,2017,27853644000
Start in 2004,,2018,26727635000
Start in 2004,,2019,25596066000
Start in 2004,,2020,24467667000
Start in 2004,,2021,23349752000
Start in 2004,,2022,22248397000
Start in 2004,,2023,21168590000
Start in 2004,,2024,20114380000
Start in 2004,,2025,19088984000
Start in 2004,,2026,18094916000
Start in 2004,,2027,17134062000
Start in 2004,,2028,16207783000
Start in 2004,,2029,15316981000
Start in 2004,,2030,14462168000
Start in 2004,,2031,13643528000
Start in 2004,,2032,12860961000
Start in 2004,,2033,12114134000
Start in 2004,,2034,11402521000
Start in 2004,,2035,10725433000
Start in 2004,,2036,10082055000
Start in 2004,,2037,9471468000
Start in 2004,,2038,8892667000
Start in 2004,,2039,8344595000
Start in 2004,,2040,7826147300
Start in 2004,,2041,7336187000
Start in 2004,,2042,6873566000
Start in 2004,,2043,6437128000
Start in 2004,,2044,6025719300
Start in 2004,,2045,5638196700
Start in 2004,,2046,5273436000
Start in 2004,,2047,4930332000
Start in 2004,,2048,4607807000
Start in 2004,,2049,4304813000
Start in 2004,,2050,4020331800
Start in 2004,,2051,3753383000
Start in 2004,,2052,3503018000
Start in 2004,,2053,3268325000
Start in 2004,,2054,3048430800
Start in 2004,,2055,2842498000
Start in 2004,,2056,2649726000
Start in 2004,,2057,2469350100
Start in 2004,,2058,2300643000
Start in 2004,,2059,2142911000
Start in 2004,,2060,1995497000
Start in 2004,,2061,1857776000
Start in 2004,,2062,1729156000
Start in 2004,,2063,1609076000
Start in 2004,,2064,1497004000
Start in 2004,,2065,1392441100
Start in 2004,,2066,1294913000
Start in 2004,,2067,1203973000
Start in 2004,,2068,1119200000
Start in 2004,,2069,1040197000
Start in 2004,,2070,966592000
Start in 2004,,2071,898033000
Start in 2004,,2072,834189000
Start in 2004,,2073,774752000
Start in 2004,,2074,719430000
Start in 2004,,2075,667949950
Start in 2004,,2076,620055040
Start in 2004,,2077,575505000
Start in 2004,,2078,534075000
Start in 2004,,2079,495555000
Start in 2004,,2080,459746980
Start in 2004,,2081,426467000
Start in 2004,,2082,395541020
Start in 2004,,2083,366809020
Start in 2004,,2084,340120000
Start in 2004,,2085,315332000
Start in 2004,,2086,292314000
Start in 2004,,2087,270942980
Start in 2004,,2088,251105010
Start in 2004,,2089,232691000
Start in 2004,,2090,215604000
Start in 2004,,2091,199748000
Start in 2004,,2092,185038990
Start in 2004,,2093,171394000
Start in 2004,,2094,158739000
Start in 2004,,2095,147002000
Start in 2004,,2096,136120000
Start in 2004,,2097,126031000
Start in 2004,,2098,116678000
Start in 2004,,2099,108010000
Start in 2004,,2100,99975000
Start in 2005,,2005,34412600000
Start in 2005,,2006,35250430000
Start in 2005,,2007,35684370000
Start in 2005,,2008,35778150000
Start in 2005,,2009,35587486000
Start in 2005,,2010,35160994000
Start in 2005,,2011,34540995000
Start in 2005,,2012,33764248000
Start in 2005,,2013,32862579000
Start in 2005,,2014,31863497000
Start in 2005,,2015,30790662000
Start in 2005,,2016,29664370000
Start in 2005,,2017,28501957000
Start in 2005,,2018,27318145000
Start in 2005,,2019,26125382000
Start in 2005,,2020,24934117000
Start in 2005,,2021,23753054000
Start in 2005,,2022,22589377000
Start in 2005,,2023,21448948000
Start in 2005,,2024,20336480000
Start in 2005,,2025,19255702000
Start in 2005,,2026,18209473000
Start in 2005,,2027,17199927000
Start in 2005,,2028,16228567000
Start in 2005,,2029,15296361000
Start in 2005,,2030,14403821000
Start in 2005,,2031,13551072000
Start in 2005,,2032,12737924000
Start in 2005,,2033,11963920000
Start in 2005,,2034,11228386000
Start in 2005,,2035,10530467000
Start in 2005,,2036,9869170000
Start in 2005,,2037,9243388000
Start in 2005,,2038,8651936000
