Entity,Code,Year,CO2 mitigation curves to meet a 2C target
Start in 2010,,2070,5761297400
Start in 2010,,2071,5495962000
Start in 2010,,2072,5241876000
Start in 2010,,2073,4998635500
Start in 2010,,2074,4765847000
Start in 2010,,2075,4543122000
Start in 2010,,2076,4330084000
Start in 2010,,2077,4126366200
Start in 2010,,2078,3931611100
Start in 2010,,2079,3745469200
Start in 2010,,2080,3567602000
Start in 2010,,2081,3397683000
Start in 2010,,2082,3235393000
Start in 2010,,2083,3080422000
Start in 2010,,2084,2932473900
Start in 2010,,2085,2791256800
Start in 2010,,2086,2656495000
Start in 2010,,2087,2527915000
Start in 2010,,2088,2405259000
Start in 2010,,2089,2288274200
Start in 2010,,2090,2176720000
Start in 2010,,2091,2070361000
Start in 2010,,2092,1968974000
Start in 2010,,2093,1872342900
Start in 2010,,2094,1780258000
Start in 2010,,2095,1692521000
Start in 2010,,2096,1608938000
Start in 2010,,2097,1529325000
Start in 2010,,2098,1453505000
Start in 2010,,2099,1381306100
Start in 2010,,2100,1312567000
Start in 2011,,2011,39188830000
Start in 2011,,2012,39835046000
Start in 2011,,2013,40251190000
Start in 2011,,2014,40463266000
Start in 2011,,2015,40494936000
Start in 2011,,2016,40367720000
Start in 2011,,2017,40101155000
Start in 2011,,2018,39712977000
Start in 2011,,2019,39219270000
Start in 2011,,2020,38634566000
Start in 2011,,2021,37972034000
Start in 2011,,2022,37243540000
Start in 2011,,2023,36459780000
Start in 2011,,2024,35630390000
Start in 2011,,2025,34764020000
Start in 2011,,2026,33868423000
Start in 2011,,2027,32950534000
Start in 2011,,2028,32016544000
Start in 2011,,2029,31071957000
Start in 2011,,2030,30121665000
Start in 2011,,2031,29169990000
Start in 2011,,2032,28220744000
Start in 2011,,2033,27277270000
Start in 2011,,2034,26342490000
Start in 2011,,2035,25418942000
Start in 2011,,2036,24508813000
Start in 2011,,2037,23613983000
Start in 2011,,2038,22736040000
Start in 2011,,2039,21876326000
Start in 2011,,2040,21035942000
Start in 2011,,2041,20215792000
Start in 2011,,2042,19416588000
Start in 2011,,2043,18638880000
Start in 2011,,2044,17883066000
Start in 2011,,2045,17149416000
Start in 2011,,2046,16438082000
Start in 2011,,2047,15749111000
Start in 2011,,2048,15082460000
Start in 2011,,2049,14438004000
Start in 2011,,2050,13815549000
Start in 2011,,2051,13214842000
Start in 2011,,2052,12635573000
Start in 2011,,2053,12077391000
Start in 2011,,2054,11539902000
Start in 2011,,2055,11022686000
Start in 2011,,2056,10525289000
Start in 2011,,2057,10047242000
Start in 2011,,2058,9588052000
Start in 2011,,2059,9147217000
Start in 2011,,2060,8724225000
Start in 2011,,2061,8318554000
Start in 2011,,2062,7929681000
Start in 2011,,2063,7557081000
Start in 2011,,2064,7200229400
Start in 2011,,2065,6858602000
Start in 2011,,2066,6531683000
Start in 2011,,2067,6218960000
Start in 2011,,2068,5919928300
Start in 2011,,2069,5634090000
Start in 2011,,2070,5360957000
Start in 2011,,2071,5100054000
Start in 2011,,2072,4850911000
